,name,RA,DEC,Equinox
0,C1,0:44:0,+85:20:0,2000
1,C2,0:13:0,+72:32:0,2000
2,C3,12:17:0,+69:28:0,2000
3,C4,21:2:0,+68:12:0,2000
4,C5,3:47:0,+68:06:0,2000
5,C6,17:59:0,+66:38:0,2000
6,C7,7:37:0,+65:36:0,2000
7,C8,1:30:0,+63:18:0,2000
8,C9,22:57:0,+62:37:0,2000
9,C10,1:46:0,+61:15:0,2000
10,C11,23:21:0,+61:12:0,2000
11,C12,20:35:0,+60:09:0,2000
12,C13,1:19:0,+58:20:0,2000
13,C14,2:20:0,+57:08:0,2000
14,C15,19:45:0,+50:31:0,2000
15,C16,22:15:0,+49:53:0,2000
16,C17,0:33:0,+48:30:0,2000
17,C18,0:39:0,+48:20:0,2000
18,C19,21:54:0,+47:16:0,2000
19,C20,20:59:0,+44:20:0,2000
20,C21,12:28:0,+44:06:0,2000
21,C22,23:26:0,+42:33:0,2000
22,C23,2:23:0,+42:21:0,2000
23,C24,3:20:0,+41:31:0,2000
24,C25,7:38:0,+38:53:0,2000
25,C26,12:18:0,+37:49:0,2000
26,C27,20:12:0,+38:21:0,2000
27,C28,1:58:0,+37:41:0,2000
28,C29,13:11:0,+37:03:0,2000
29,C30,22:37:0,+34:25:0,2000
30,C31,5:16:0,+34:16:0,2000
31,C32,12:42:0,+32:32:0,2000
32,C33,20:56:0,+31:43:0,2000
33,C34,20:46:0,+30:43:0,2000
34,C35,13:0:0,+27:59:0,2000
35,C36,12:36:0,+27:58:0,2000
36,C37,20:12:0,+26:29:0,2000
37,C38,12:36:0,+25:59:0,2000
38,C39,7:29:0,+20:55:0,2000
39,C40,11:20:0,+18:21:0,2000
40,C41,4:27:0,+16:00:0,2000
41,C42,21:2:0,+16:11:0,2000
42,C43,0:3:0,+16:09:0,2000
43,C44,23:5:0,+12:19:0,2000
44,C45,13:38:0,+08:53:0,2000
45,C46,6:39:0,+08:44:0,2000
46,C47,20:34:0,+07:24:0,2000
47,C48,9:10:0,+07:02:0,2000
48,C49,6:32:0,+05:03:0,2000
49,C50,6:32:0,+04:52:0,2000
50,C51,1:5:0,+02:07:0,2000
51,C52,12:49:0,-05:48:0,2000
52,C53,10:5:0,-07:43:0,2000
53,C54,8:0:0,-10:47:0,2000
54,C55,21:4:0,-11:22:0,2000
55,C56,0:47:0,-11:53:0,2000
56,C57,19:45:0,-14:48:0,2000
57,C58,7:18:0,-15:37:0,2000
58,C59,10:25:0,-18:38:0,2000
59,C60,12:2:0,-18:52:0,2000
60,C61,12:2:0,-18:53:0,2000
61,C62,0:47:0,-20:46:0,2000
62,C63,22:30:0,-20:48:0,2000
63,C64,7:19:0,-24:57:0,2000
64,C65,0:48:0,-25:17:0,2000
65,C66,14:40:0,-26:32:0,2000
66,C67,2:46:0,-30:17:0,2000
67,C68,19:2:0,-36:57:0,2000
68,C69,17:14:0,-37:06:0,2000
69,C70,0:55:0,-37:41:0,2000
70,C71,7:52:0,-38:33:0,2000
71,C72,0:15:0,-39:11:0,2000
72,C73,5:14:0,-40:03:0,2000
73,C74,10:8:0,-40:26:0,2000
74,C75,16:26:0,-40:40:0,2000
75,C76,16:54:0,-41:48:0,2000
76,C77,13:26:0,-43:01:0,2000
77,C78,18:8:0,-43:42:0,2000
78,C79,10:18:0,-46:25:0,2000
79,C80,13:27:0,-47:29:0,2000
80,C81,17:26:0,-48:25:0,2000
81,C82,16:41:0,-48:46:0,2000
82,C83,13:5:0,-49:28:0,2000
83,C84,13:46:0,-51:22:0,2000
84,C85,8:40:0,-53:04:0,2000
85,C86,17:41:0,-53:40:0,2000
86,C87,3:12:0,-55:13:0,2000
87,C88,15:6:0,-55:36:0,2000
88,C89,16:19:0,-57:54:0,2000
89,C90,9:21:0,-58:19:0,2000
90,C91,11:6:0,-58:40:0,2000
91,C92,10:44:0,-59:52:0,2000
92,C93,19:11:0,-59:59:0,2000
93,C94,12:54:0,-60:20:0,2000
94,C95,16:4:0,-60:30:0,2000
95,C96,7:58:0,-60:52:0,2000
96,C97,11:36:0,-61:37:0,2000
97,C98,12:42:0,-62:58:0,2000
98,C99,12:53:0,-63:00:0,2000
99,C100,11:37:0,-63:02:0,2000
100,C101,19:10:0,-63:51:0,2000
101,C102,10:43:0,-64:24:0,2000
102,C103,5:39:0,-69:06:0,2000
103,C104,1:3:0,-70:51:0,2000
104,C105,12:60:0,-70:53:0,2000
105,C106,0:24:0,-72:05:0,2000
106,C107,16:26:0,-72:12:0,2000
107,C108,12:26:0,-72:40:0,2000
108,C109,10:10:0,-80:52:0,2000
