,name,RA,DEC,Equinox
0,M1,5:34:0,2:1:0,2000
1,M2,21:34:0,0:49:0,2000
2,M3,13:42:0,28:23:0,2000
3,M4,16:24:0,-26:32:0,2000
4,M5,15:19:0,2:5:0,2000
5,M6,17:40:0,-32:13:0,2000
6,M7,17:54:0,-34:49:0,2000
7,M8,18:4:0,-24:23:0,2000
8,M9,17:19:0,-18:31:0,2000
9,M10,16:57:0,-4:6:0,2000
10,M11,18:51:0,-6:16:0,2000
11,M12,16:47:0,-1:57:0,2000
12,M13,16:42:0,36:28:0,2000
13,M14,17:38:0,-3:15:0,2000
14,M15,21:30:0,12:10:0,2000
15,M16,18:19:0,-13:47:0,2000
16,M17,18:21:0,-16:11:0,2000
17,M18,18:20:0,-17:8:0,2000
18,M19,17:3:0,-26:16:0,2000
19,M20,18:3:0,-23:2:0,2000
20,M21,18:5:0,-22:30:0,2000
21,M22,18:36:0,-23:54:0,2000
22,M23,17:57:0,-19:1:0,2000
23,M24,18:17:0,-18:30:0,2000
24,M25,18:32:0,-19:15:0,2000
25,M26,18:45:0,-9:24:0,2000
26,M27,19:60:0,22:43:0,2000
27,M28,18:24:0,-24:52:0,2000
28,M29,20:24:0,38:32:0,2000
29,M30,21:40:0,-23:11:0,2000
30,M31,0:42:0,41:16:0,2000
31,M32,0:43:0,40:52:0,2000
32,M33,1:34:0,30:39:0,2000
33,M34,2:42:0,42:47:0,2000
34,M35,6:9:0,24:20:0,2000
35,M36,5:36:0,34:8:0,2000
36,M37,5:52:0,32:33:0,2000
37,M38,5:29:0,35:50:0,2000
38,M39,21:32:0,48:26:0,2000
39,M40,12:22:0,58:5:0,2000
40,M41,6:47:0,-20:44:0,2000
41,M42,5:35:0,-5:27:0,2000
42,M43,5:36:0,-5:16:0,2000
43,M44,8:40:0,19:59:0,2000
44,M45,3:47:0,24:7:0,2000
45,M46,7:42:0,-14:49:0,2000
46,M47,7:37:0,-14:30:0,2000
47,M48,8:14:0,-5:48:0,2000
48,M49,12:30:0,8:0:0,2000
49,M50,7:3:0,-8:20:0,2000
50,M51,13:30:0,47:11:0,2000
51,M52,23:24:0,61:35:0,2000
52,M53,13:13:0,18:10:0,2000
53,M54,18:55:0,-30:29:0,2000
54,M55,19:40:0,-30:58:0,2000
55,M56,19:17:0,30:11:0,2000
56,M57,18:54:0,33:2:0,2000
57,M58,12:38:0,11:49:0,2000
58,M59,12:42:0,11:39:0,2000
59,M60,12:44:0,11:33:0,2000
60,M61,12:22:0,4:28:0,2000
61,M62,17:1:0,-30:7:0,2000
62,M63,13:16:0,42:2:0,2000
63,M64,12:57:0,21:41:0,2000
64,M65,11:19:0,13:5:0,2000
65,M66,11:20:0,12:59:0,2000
66,M67,8:50:0,11:49:0,2000
67,M68,12:40:0,-26:45:0,2000
68,M69,18:31:0,-32:21:0,2000
69,M70,18:43:0,-32:18:0,2000
70,M71,19:54:0,18:47:0,2000
71,M72,20:54:0,-12:32:0,2000
72,M73,20:59:0,-12:38:0,2000
73,M74,1:37:0,15:47:0,2000
74,M75,20:6:0,-21:55:0,2000
75,M76,1:42:0,51:34:0,2000
76,M77,2:43:0,0:2:0,2000
77,M78,5:47:0,0:3:0,2000
78,M79,5:24:0,-24:33:0,2000
79,M80,16:17:0,-22:59:0,2000
80,M81,9:56:0,69:4:0,2000
81,M82,9:56:0,69:41:0,2000
82,M83,13:37:0,-29:52:0,2000
83,M84,12:25:0,12:53:0,2000
84,M85,12:26:0,18:12:0,2000
85,M86,12:26:0,12:57:0,2000
86,M87,12:31:0,12:24:0,2000
87,M88,12:32:0,14:26:0,2000
88,M89,12:36:0,12:33:0,2000
89,M90,12:37:0,13:10:0,2000
90,M91,12:36:0,14:30:0,2000
91,M92,17:17:0,43:8:0,2000
92,M93,7:45:0,-23:52:0,2000
93,M94,12:51:0,41:8:0,2000
94,M95,10:44:0,11:42:0,2000
95,M96,10:47:0,11:49:0,2000
96,M97,11:15:0,55:1:0,2000
97,M98,12:14:0,14:55:0,2000
98,M99,12:19:0,14:26:0,2000
99,M100,12:23:0,15:50:0,2000
100,M101,14:3:0,54:21:0,2000
101,M102,15:6:0,55:46:0,2000
102,M103,1:33:0,60:42:0,2000
103,M104,12:40:0,-11:37:0,2000
104,M105,10:48:0,12:35:0,2000
105,M106,12:19:0,47:19:0,2000
106,M107,16:32:0,-13:3:0,2000
107,M108,11:12:0,55:40:0,2000
108,M109,11:58:0,53:23:0,2000
109,M110,0:40:0,41:41:0,2000
