,name,RA,DEC,Equinox
0,NGC1,00:07:17.4,+27:42:21,2000
1,NGC2,00:07:17.4,+27:40:21,2000
2,NGC3,00:07:17.1,+08:17:21,2000
3,NGC4,00:08:11.1,+08:09:21,2000
4,NGC5,00:07:47.7,+35:21:21,2000
5,NGC6,00:08:17.6,+32:30:21,2000
6,NGC7,00:08:22.3,-29:54:39,2000
7,NGC8,00:08:47.5,+23:50:21,2000
8,NGC9,00:08:53.5,+23:48:21,2000
9,NGC10,00:08:40.1,-33:52:39,2000
10,NGC11,00:08:41.8,+37:26:21,2000
11,NGC12,00:08:47.0,+04:36:21,2000
12,NGC13,00:08:47.7,+33:25:21,2000
13,NGC14,00:08:41.3,+15:48:21,2000
14,NGC15,00:09:05.4,+21:36:21,2000
15,NGC16,00:09:05.6,+27:43:21,2000
16,NGC17,00:09:04.7,-12:07:39,2000
17,NGC18,00:09:23.6,+27:43:21,2000
18,NGC19,00:09:23.7,+32:50:21,2000
19,NGC20,00:09:35.8,+33:18:21,2000
20,NGC21,00:10:41.9,+32:58:20,2000
21,NGC22,00:09:47.6,+27:50:21,2000
22,NGC23,00:09:53.6,+25:55:21,2000
23,NGC24,00:09:58.3,-24:58:39,2000
24,NGC25,00:09:56.8,-57:02:39,2000
25,NGC26,00:10:23.6,+25:49:21,2000
26,NGC27,00:10:29.7,+29:00:21,2000
27,NGC28,00:10:20.7,-57:00:39,2000
28,NGC29,00:10:47.9,+33:21:20,2000
29,NGC30,00:10:47.5,+21:57:21,2000
30,NGC31,00:10:32.7,-56:59:39,2000
31,NGC32,00:10:53.4,+18:47:21,2000
32,NGC33,00:10:53.0,+03:40:21,2000
33,NGC34,00:11:04.6,-12:05:39,2000
34,NGC35,00:11:10.6,-11:59:39,2000
35,NGC36,00:11:17.1,+06:24:21,2000
36,NGC37,00:11:20.5,-56:57:39,2000
37,NGC38,00:11:52.8,-05:35:39,2000
38,NGC39,00:12:17.9,+31:03:20,2000
39,NGC40,00:13:04.6,+72:31:20,2000
40,NGC41,00:12:47.6,+22:02:20,2000
41,NGC42,00:12:53.7,+22:06:20,2000
42,NGC43,00:13:00.0,+30:54:20,2000
43,NGC44,00:13:06.0,+31:17:20,2000
44,NGC45,00:13:58.1,-23:10:40,2000
45,NGC46,00:14:05.1,+05:59:20,2000
46,NGC47,00:14:28.7,-07:10:40,2000
47,NGC48,00:14:01.1,+48:13:20,2000
48,NGC49,00:14:19.2,+48:14:20,2000
49,NGC50,00:14:40.7,-07:20:40,2000
50,NGC51,00:14:31.2,+48:15:20,2000
